,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Samarai,64,PG,1553642289,100,-10.62,150.67,82.48,9.46
1,Aykhal,88,RU,1553642292,71,65.95,111.51,13.63,7.56
2,Kaitangata,12,NZ,1553642295,76,-46.28,169.85,56.43,22.88
3,Dikson,88,RU,1553642296,94,73.51,80.55,29.2,28.48
4,Sur,12,OM,1553642296,88,22.57,59.53,74.56,7.23
5,Pangnirtung,40,CA,1553637600,77,66.15,-65.72,5.0,6.44
6,Saskylakh,76,RU,1553642299,76,71.97,114.09,14.8,5.1
7,East London,68,ZA,1553642300,100,-33.02,27.91,68.58,5.44
8,Barrow,0,AR,1553642300,73,-38.31,-60.23,52.02,8.46
9,Camocim,92,BR,1553642300,90,-2.9,-40.84,78.3,4.09
10,Avarua,36,CK,1553641200,79,-21.21,-159.78,84.2,6.93
11,Yuncheng,68,CN,1553642301,66,35.03,111.0,53.37,2.64
12,Sakaiminato,20,JP,1553642296,81,35.55,133.23,42.8,6.93
13,Acajutla,0,SV,1553642146,47,13.59,-89.83,84.0,7.0
14,Cape Town,0,ZA,1553641991,63,-33.93,18.42,68.0,6.93
15,Ushuaia,75,AR,1553637600,66,-54.81,-68.31,53.6,5.82
16,Cherskiy,68,RU,1553642302,76,68.75,161.3,10.75,15.39
17,Pita,12,GN,1553642302,87,11.06,-12.4,69.12,2.64
18,Busselton,12,AU,1553642125,49,-33.64,115.35,55.99,14.5
19,Leningradskiy,76,RU,1553642303,89,69.38,178.42,30.69,22.55
20,Astoria,20,US,1553642301,50,46.19,-123.83,57.0,6.93
21,Sitka,24,US,1553642113,48,37.17,-99.65,68.0,17.0
22,Benghazi,0,LY,1553642304,96,32.12,20.07,62.05,12.03
23,Punta Arenas,90,CL,1553641947,71,-53.16,-70.91,53.6,16.11
24,Vostok,68,RU,1553642262,62,46.45,135.83,21.33,5.32
25,Bredasdorp,76,ZA,1553642159,68,-34.53,20.04,68.0,12.75
26,Puerto Ayora,75,EC,1553642148,70,-0.74,-90.35,84.2,11.41
27,Rikitea,20,PF,1553642308,97,-23.12,-134.97,80.01,16.06
28,Mount Gambier,90,AU,1553639400,87,-37.83,140.78,55.4,4.7
29,Albany,1,US,1553641993,21,42.65,-73.75,41.0,14.99
30,Nantucket,1,US,1553642300,100,41.28,-70.1,36.0,10.29
31,Honiara,32,SB,1553642241,82,-9.43,159.96,83.16,2.75
32,San Patricio,44,PY,1553642312,51,-26.98,-56.83,69.48,6.22
33,Bandarbeyla,88,SO,1553642313,100,9.49,50.81,79.47,3.2
34,Esperance,20,TT,1553642194,65,10.24,-61.45,82.4,9.17
35,Butaritari,20,KI,1553642313,100,3.07,172.79,84.24,17.29
36,Mumford,0,GH,1553642269,93,5.26,-0.76,78.21,5.99
37,Tuktoyaktuk,75,CA,1553637600,92,69.44,-133.03,19.4,9.17
38,Carnarvon,44,ZA,1553642314,47,-30.97,22.13,55.71,8.46
39,Rawlins,1,US,1553640900,34,41.79,-107.24,53.6,19.46
40,Padang,75,ID,1553637600,88,-0.92,100.36,78.8,8.05
41,Grants,40,US,1553640900,14,35.15,-107.85,68.0,17.22
42,Shimoda,20,JP,1553639585,46,34.7,138.93,53.01,6.93
43,Ulladulla,75,AU,1553642189,77,-35.36,150.48,62.01,9.17
44,Tasiilaq,24,GL,1553640600,62,65.61,-37.64,21.2,6.93
45,Mar del Plata,0,AR,1553642319,57,-46.43,-67.52,61.29,7.78
46,Hermanus,88,ZA,1553642159,77,-34.42,19.24,66.99,5.01
47,New Norfolk,0,AU,1553642295,50,-42.78,147.06,62.01,10.29
48,Dondo,20,MZ,1553637600,83,-19.62,34.74,82.4,8.05
49,Harper,1,US,1553642294,29,30.3,-99.24,77.0,9.17
50,Grootfontein,92,NA,1553642321,60,-19.56,18.1,68.22,8.9
51,Rizhao,92,CN,1553642321,63,35.43,119.46,55.53,10.69
52,Iqaluit,40,CA,1553637600,64,63.75,-68.52,-0.41,17.22
